avg_served_clients,avg_waiting_clients,n_pumps,n_registers,arrival_prob,avg_refuelling_time,std_refuelling_time,avg_payment_time,std_payment_time,avg_time_pumps,avg_time_registers
157.28,82.48,1,6,0.5,2,2,2,2,481.8,79.02666666666667
156.64,83.92,1,6,0.5,2,2,2,5,481.42,142.98333333333332
157.9,80.08,1,6,0.5,2,2,5,2,481.84,136.04666666666668
156.74,84.72,1,6,0.5,2,2,5,5,481.62,181.46
88.48,152.28,1,6,0.5,2,5,2,2,483.92,44.89666666666667
89.38,149.64,1,6,0.5,2,5,2,5,483.9,80.84
88.28,150.52,1,6,0.5,2,5,5,2,484.04,75.74333333333333
88.66,149.16,1,6,0.5,2,5,5,5,483.76,102.36999999999999
92.66,145.3,1,6,0.5,5,2,2,2,483.4,47.03
93.08,147.44,1,6,0.5,5,2,2,5,482.86,82.3
92.92,148.18,1,6,0.5,5,2,5,2,483.62,79.68333333333332
92.6,144.66,1,6,0.5,5,2,5,5,483.46,105.98666666666666
70.28,169.02,1,6,0.5,5,5,2,2,483.7,35.33333333333333
69.6,169.0,1,6,0.5,5,5,2,5,484.72,62.08666666666667
68.18,171.7,1,6,0.5,5,5,5,2,484.3,58.69
70.58,167.06,1,6,0.5,5,5,5,5,484.14,81.24666666666667
158.48,80.76,2,1,0.5,2,2,2,2,360.18,478.4
90.32,150.84,2,1,0.5,2,2,2,5,363.07,481.88
92.64,144.72,2,1,0.5,2,2,5,2,359.75,480.62
70.02,168.6,2,1,0.5,2,2,5,5,360.32,482.38
156.56,83.28,2,1,0.5,2,5,2,2,481.47,470.68
88.58,150.66,2,1,0.5,2,5,2,5,482.21,477.46
92.86,145.48,2,1,0.5,2,5,5,2,481.88,478.54
68.86,171.32,2,1,0.5,2,5,5,5,481.55,480.7
156.9,84.64,2,1,0.5,5,2,2,2,480.77,475.5
88.72,152.34,2,1,0.5,5,2,2,5,480.11,479.36
92.66,147.02,2,1,0.5,5,2,5,2,480.69,479.26
69.16,168.42,2,1,0.5,5,2,5,5,480.84000000000003,479.12
137.5,104.44,2,1,0.5,5,5,2,2,483.17,414.86
87.98,151.22,2,1,0.5,5,5,2,5,484.07,477.16
91.6,147.0,2,1,0.5,5,5,5,2,483.05,477.04
68.66,168.44,2,1,0.5,5,5,5,5,483.15,479.1
234.48,7.2,2,2,0.5,2,2,2,2,357.89,354.74
176.44,61.66,2,2,0.5,2,2,2,5,359.55999999999995,477.77
182.98,57.98,2,2,0.5,2,2,5,2,364.1,477.85
139.46,99.1,2,2,0.5,2,2,5,5,359.53999999999996,481.77
176.36,63.5,2,2,0.5,2,5,2,2,481.27,264.07
167.7,71.24,2,2,0.5,2,5,2,5,480.24,453.83000000000004
173.16,66.34,2,2,0.5,2,5,5,2,480.99,450.62
137.58,102.86,2,2,0.5,2,5,5,5,481.25,476.19
185.32,52.66,2,2,0.5,5,2,2,2,480.44,279.7
171.08,68.94,2,2,0.5,5,2,2,5,481.71000000000004,466.96
179.16,60.08,2,2,0.5,5,2,5,2,481.89,463.04
137.58,103.18,2,2,0.5,5,2,5,5,481.15,477.52
138.48,101.74,2,2,0.5,5,5,2,2,483.66999999999996,210.62
138.04,101.88,2,2,0.5,5,5,2,5,483.47,374.69
137.48,101.44,2,2,0.5,5,5,5,2,483.23,356.04999999999995
131.32,107.18,2,2,0.5,5,5,5,5,483.61,455.21000000000004
237.94,5.64,2,3,0.5,2,2,2,2,361.46000000000004,237.74666666666667
231.9,10.24,2,3,0.5,2,2,2,5,360.34000000000003,416.05333333333334
234.78,8.14,2,3,0.5,2,2,5,2,360.34000000000003,403.26
206.34,31.88,2,3,0.5,2,2,5,5,358.47,471.5
176.72,65.66,2,3,0.5,2,5,2,2,481.83000000000004,178.33333333333334
174.26,65.12,2,3,0.5,2,5,2,5,481.24,315.84666666666664
173.56,68.66,2,3,0.5,2,5,5,2,481.96000000000004,297.87333333333333
172.44,67.28,2,3,0.5,2,5,5,5,481.78,392.2066666666667
185.1,55.66,2,3,0.5,5,2,2,2,481.66999999999996,186.02666666666667
183.12,57.94,2,3,0.5,5,2,2,5,480.85,332.17333333333335
183.8,55.4,2,3,0.5,5,2,5,2,480.87,314.55333333333334
181.76,55.82,2,3,0.5,5,2,5,5,481.03,416.7866666666667
139.12,100.68,2,3,0.5,5,5,2,2,483.49,139.35333333333332
138.42,101.22,2,3,0.5,5,5,2,5,483.42,251.96666666666667
137.78,101.04,2,3,0.5,5,5,5,2,483.28999999999996,235.81333333333336
136.4,100.02,2,3,0.5,5,5,5,5,483.45000000000005,316.20000000000005
234.08,5.42,2,4,0.5,2,2,2,2,356.5,175.925
236.8,6.6,2,4,0.5,2,2,2,5,362.38,321.32000000000005
238.56,6.0,2,4,0.5,2,2,5,2,366.47,306.495
233.54,9.04,2,4,0.5,2,2,5,5,358.68,406.36
175.12,65.56,2,4,0.5,2,5,2,2,482.42,133.03
174.08,64.2,2,4,0.5,2,5,2,5,482.34000000000003,235.44499999999996
175.22,63.32,2,4,0.5,2,5,5,2,481.72,227.24
173.1,61.98,2,4,0.5,2,5,5,5,482.03999999999996,300.89
186.46,52.9,2,4,0.5,5,2,2,2,481.03,140.01500000000001
184.12,54.5,2,4,0.5,5,2,2,5,481.12,248.395
183.56,55.34,2,4,0.5,5,2,5,2,481.36,237.275
183.14,55.68,2,4,0.5,5,2,5,5,481.39,317.65500000000003
138.86,101.7,2,4,0.5,5,5,2,2,484.11,104.87
135.96,99.62,2,4,0.5,5,5,2,5,483.38,185.625
139.04,99.86,2,4,0.5,5,5,5,2,484.15,178.995
139.3,96.46,2,4,0.5,5,5,5,5,483.61,242.47500000000002
242.08,5.58,2,5,0.5,2,2,2,2,367.27,147.76799999999997
237.14,5.6,2,5,0.5,2,2,2,5,359.82,257.928
235.44,5.3,2,5,0.5,2,2,5,2,359.61,242.36800000000002
236.86,6.46,2,5,0.5,2,2,5,5,364.57,328.48799999999994
175.86,65.18,2,5,0.5,2,5,2,2,480.88,106.74800000000002
173.54,65.96,2,5,0.5,2,5,2,5,480.87,186.408
174.64,63.34,2,5,0.5,2,5,5,2,481.44,180.33999999999997
174.4,64.14,2,5,0.5,2,5,5,5,480.25,240.13199999999998
185.9,53.52,2,5,0.5,5,2,2,2,480.79999999999995,112.41600000000001
184.98,54.96,2,5,0.5,5,2,2,5,481.67,200.908
184.22,53.06,2,5,0.5,5,2,5,2,480.84000000000003,190.496
184.04,53.74,2,5,0.5,5,2,5,5,480.97,255.37199999999999
138.48,101.8,2,5,0.5,5,5,2,2,483.17999999999995,83.85999999999999
137.42,97.98,2,5,0.5,5,5,2,5,483.48,148.188
137.98,103.28,2,5,0.5,5,5,5,2,484.27,143.188
136.24,103.12,2,5,0.5,5,5,5,5,483.89,190.06799999999996
236.42,5.42,2,6,0.5,2,2,2,2,359.78999999999996,121.18666666666668
235.22,5.26,2,6,0.5,2,2,2,5,359.39,214.52333333333334
238.56,5.84,2,6,0.5,2,2,5,2,368.27,203.92666666666665
